TaskName,Description,Subtask,Status,Priority,DueDate,ProjectName,ProjectDescription,Collaborator,CollaboratorCategory,Tags
Add push notifications,Integrate Firebase Cloud Messaging for real-time alerts,Test on iOS and Android,OPEN,HIGH,2026-04-17,Mobile,Native iOS and Android development,Jack,SENIOR,"mobile,notifications,urgent"
Set up monitoring dashboard,Deploy Grafana + Prometheus stack for production observability,Install Prometheus exporters,OPEN,MEDIUM,2026-04-24,DevOps,Infrastructure and deployment automation,Dave,SENIOR,"devops,monitoring"
Set up monitoring dashboard,Deploy Grafana + Prometheus stack for production observability,Create alerting rules,OPEN,MEDIUM,2026-04-24,DevOps,Infrastructure and deployment automation,Eve,INTERMEDIATE,"devops,monitoring"
Implement search feature,Full-text search across tasks and projects with filters,Design search index schema,OPEN,HIGH,2026-04-30,Backend,Core backend services and APIs,Carol,INTERMEDIATE,"backend,search"
Implement search feature,Full-text search across tasks and projects with filters,Integrate Elasticsearch,OPEN,HIGH,2026-04-30,Backend,Core backend services and APIs,Alice,SENIOR,"backend,search"
Implement search feature,Full-text search across tasks and projects with filters,Build search UI component,OPEN,HIGH,2026-04-30,Frontend,UI and user experience work,Grace,INTERMEDIATE,"frontend,search"
Accessibility audit,Review app for WCAG 2.1 AA compliance and fix violations,,OPEN,MEDIUM,2026-05-12,Frontend,UI and user experience work,,,"frontend,accessibility"
Security penetration test,Engage third-party firm to conduct full pen test of API layer,,OPEN,CRITICAL,2026-05-19,Backend,Core backend services and APIs,,,"backend,security,urgent"
Migrate to PostgreSQL,"Move production database from SQLite to PostgreSQL for scalability",Set up PostgreSQL cluster,OPEN,HIGH,2026-05-26,DevOps,Infrastructure and deployment automation,Dave,SENIOR,"devops,database,backend"
Migrate to PostgreSQL,"Move production database from SQLite to PostgreSQL for scalability",Run data migration scripts,OPEN,HIGH,2026-05-26,DevOps,Infrastructure and deployment automation,Carol,INTERMEDIATE,"devops,database,backend"
Migrate to PostgreSQL,"Move production database from SQLite to PostgreSQL for scalability",Validate data integrity,OPEN,HIGH,2026-05-26,DevOps,Infrastructure and deployment automation,Alice,SENIOR,"devops,database,backend"
Onboarding flow redesign,Redesign the new-user onboarding experience to improve activation rate,User research interviews,COMPLETED,MEDIUM,2026-03-10,Frontend,UI and user experience work,Frank,JUNIOR,"frontend,ux"
Onboarding flow redesign,Redesign the new-user onboarding experience to improve activation rate,Prototype new flow,COMPLETED,MEDIUM,2026-03-10,Frontend,UI and user experience work,Grace,INTERMEDIATE,"frontend,ux"
